My Cart,Your Cart
My Account,Your Account
My Orders,Your Orders
My Tags,Your Tags
My Wishlist,Your Wishlist
My Product Reviews,Your Product Reviews
My Downloadable Products,Your Downloadable Products
My Dashboard,Your Dashboard
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">Your Downloadable Products</a>"
As low as,Starting at
My Recent Reviews,Your Recent Reviews
My Product Reviews,Your Product Reviews
Purchase Order Number,UNL Cost Object
Purchase Order Number:,UNL Cost Object:
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,From your Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.
Delivery Date,Ship Date
Delivery Notice,Shipping/Order Notes
Specified delivery date is invalid.,Specified ship date is invalid.
